keys,en,ru
label.politics.last_vote,Last vote: {summary},Последнее голосование: {summary}
label.politics.active_laws,Active laws: {laws},Активные законы: {laws}
label.politics.next_vote,Next vote: Day {day},След. голосование: день {day}
label.politics.next_vote_none,Next vote: —,След. голосование: —
label.finance_debug.storage_title,Storage (good → qty),Склад (товар → кол-во)
label.finance_debug.prices_title,Prices (good → level → price),Цены (товар → ур. → цена)
label.finance_debug.history_title,History (last 30 days),История (30 дней)
label.finance_debug.hint,F6 to run. Speed x4 in main HUD. Council vote every 7 days from Day 7.,F6. Ускорение x4 в HUD. Голосование каждые 7 дней с дня 7.
label.finance_debug.history_header,Day	Revenue	Expenses	Profit	Sales	Missed	Cash,День	Выручка	Расходы	Прибыль	Продажи	Упущ.	Касса
label.finance_debug.price_row,{good}	Lv{level}	{price},{good}	ур.{level}	{price}
label.finance_debug.storage_row,{good}	{qty},{good}	{qty}
msg.campaign.fail,Campaign FAIL: {error},Агитация: {error}
msg.politics.vote_summary,FOR {for} / AGAINST {against} — {result},ЗА {for} / ПРОТИВ {against} — {result}
msg.politics.passed,PASSED,ПРИНЯТ
msg.politics.rejected,REJECTED,ОТКЛОНЁН
msg.politics.vote_debug,"D{day} {law}: FOR {for} / AGAINST {against} — {result}","D{day} {law}: ЗА {for} / ПРОТИВ {against} — {result}"
msg.politics.campaign_applied,Campaign applied to {count} NPCs,Агитация: затронуто {count} NPC
label.politics.effect_cost_mult,daily cost ×{mult},расходы ×{mult}
label.politics.duration_permanent,permanent,навсегда
label.politics.duration_days_left,{days} days left,осталось {days} дн.
label.politics.no_effect,no effect,нет эффекта
label.politics.active_law_line,"{name} ({effect}, {duration})","{name} ({effect}, {duration})"
label.map.home,home,дом
